state,Jan_change_2021_19,Feb_change_2021_19,Mar_change_2021_19,Mar_change_2020_19,Apr_change_2021_19,Apr_change_2020_19,May_change_2021_19,May_change_2020_19,Jun_change_2021_19,Jun_change_2020_19,Jul_change_2021_19,Jul_change_2020_19,Aug_change_2021_19,Aug_change_2020_19,Sep_change_2021_19,Sep_change_2020_19,Oct_change_2021_19,Oct_change_2020_19,Nov_change_2020_19,Dec_change_2020_19,mean_unemp_changes,std_dev,zscore,percentile
FL,1.3714285714285714,1.3823529411764708,1.3823529411764708,1.4411764705882355,1.4545454545454546,4.242424242424242,1.484848484848485,4.303030303030303,1.5625,3.6249999999999996,1.5454545454545454,3.484848484848485,1.5151515151515151,2.393939393939394,1.4999999999999998,2.25,1.4374999999999998,1.8124999999999998,1.6875,1.5937499999999998,2.0735151674306085,0.5396011334179114,0.2589257414305256,0.397846268250175
ND,1.956521739130435,2.0869565217391304,1.9130434782608698,1.0,1.8260869565217392,3.782608695652174,1.7391304347826089,3.782608695652174,1.7391304347826089,2.695652173913044,1.625,2.5833333333333335,1.5,2.5416666666666665,1.5217391304347827,2.0434782608695654,1.434782608695652,2.0434782608695654,2.0434782608695654,2.1363636363636362,2.099752964426877,0.5396011334179114,0.3075501704232421,0.37921232081362727
SC,1.6562499999999998,1.625,1.5937499999999998,0.9375,1.6129032258064515,3.7096774193548385,1.586206896551724,3.9655172413793105,1.6666666666666665,2.8518518518518516,1.6538461538461537,2.923076923076923,1.7500000000000002,2.2500000000000004,1.7083333333333333,2.2500000000000004,1.625,2.2500000000000004,2.3333333333333335,2.2399999999999998,2.1094456522600296,0.5396011334179114,0.3255128603304289,0.3723964755085768
TX,1.8378378378378377,1.9166666666666667,1.9714285714285715,1.4000000000000001,1.9142857142857144,3.685714285714286,1.9411764705882353,3.411764705882353,1.911764705882353,3.0,1.7714285714285716,2.6571428571428575,1.6857142857142857,1.9714285714285715,1.5999999999999999,2.257142857142857,1.542857142857143,2.085714285714286,2.0571428571428574,1.9714285714285715,2.129531947914301,0.5396011334179114,0.36273719958828377,0.3584006041968977
VA,1.8275862068965518,1.793103448275862,1.8214285714285714,0.9285714285714287,1.6785714285714288,4.0357142857142865,1.6666666666666665,3.148148148148148,1.6538461538461537,3.3846153846153846,1.6153846153846154,3.0384615384615383,1.5384615384615383,2.692307692307692,1.4615384615384615,2.5384615384615383,1.44,2.44,2.32,2.2399999999999998,2.1631433553674935,0.5396011334179114,0.42502655624751295,0.3354086578884865
IL,1.7111111111111112,1.6444444444444446,1.6136363636363635,0.8409090909090908,1.6904761904761902,3.9285714285714284,1.7317073170731707,3.75609756097561,1.8,3.55,1.8205128205128205,3.076923076923077,1.842105263157895,2.9210526315789473,1.6756756756756757,2.810810810810811,1.6666666666666665,2.25,2.314285714285714,2.2857142857142856,2.2465350226261656,0.5396011334179114,0.5795697217343184,0.2811024082003768
CT,2.189189189189189,2.2972972972972974,2.305555555555556,1.0555555555555556,2.25,2.388888888888889,2.314285714285714,3.257142857142857,2.2,3.257142857142857,2.085714285714286,3.2285714285714286,2.0,2.3333333333333335,1.8888888888888888,2.305555555555556,1.777777777777778,2.2777777777777777,2.2777777777777777,2.2777777777777777,2.298411625911626,0.5396011334179114,0.6757085177314032,0.24961286346944822
RI,1.8947368421052633,1.9729729729729728,1.9444444444444444,1.1111111111111112,1.8,4.971428571428571,1.7142857142857142,3.685714285714286,1.6388888888888888,3.0277777777777777,1.5833333333333333,3.888888888888889,1.611111111111111,3.5,1.4444444444444444,3.0277777777777777,1.5,2.0277777777777777,2.1944444444444446,2.1944444444444446,2.3366791415475623,0.5396011334179114,0.7466266705409507,0.2276444723328987
CA,2.0930232558139537,1.9767441860465118,1.9761904761904763,1.0714285714285714,1.9512195121951221,3.9024390243902443,1.878048780487805,3.804878048780488,1.853658536585366,3.439024390243903,1.853658536585366,3.2195121951219514,1.829268292682927,3.0000000000000004,1.829268292682927,2.5853658536585367,1.7804878048780488,2.3902439024390247,2.1219512195121952,2.2142857142857144,2.338534829700457,0.5396011334179114,0.7500656702723641,0.22660757708669105
NY,2.2,2.2820512820512824,2.153846153846154,1.0,2.1578947368421053,4.2631578947368425,2.0526315789473686,4.131578947368421,2.0263157894736845,3.947368421052632,2.0,3.8684210526315788,1.9473684210526319,3.0789473684210527,1.868421052631579,2.6315789473684212,1.8157894736842106,2.289473684210526,2.351351351351351,2.351351351351351,2.52087737535106,0.5396011334179114,1.087986653676567,0.13830049973566982
MA,2.4375,2.1875,2.161290322580645,0.8709677419354839,2.064516129032258,5.290322580645161,1.6666666666666667,5.1000000000000005,1.6333333333333335,4.933333333333334,1.6333333333333335,3.266666666666667,1.6666666666666667,3.1,1.7333333333333334,2.966666666666667,1.8275862068965518,2.931034482758621,2.896551724137931,2.896551724137931,2.6631910456062293,0.5396011334179114,1.3517252958727648,0.08823160487962084
CO,2.1999999999999997,2.206896551724138,2.285714285714286,1.6785714285714288,2.3703703703703702,4.481481481481481,2.3846153846153846,4.461538461538462,2.3846153846153846,4.346153846153847,2.346153846153846,2.8461538461538463,2.269230769230769,2.7307692307692304,2.2399999999999998,2.8,2.16,2.7600000000000002,2.7600000000000002,2.6538461538461537,2.718305552046931,0.5396011334179114,1.453864641080582,0.0729919188164847
NJ,2.1666666666666665,2.2285714285714286,2.235294117647059,1.1176470588235294,2.272727272727273,5.030303030303031,2.25,5.15625,2.25,5.09375,2.2121212121212124,3.9696969696969697,2.1176470588235294,3.235294117647059,2.0285714285714285,2.2285714285714286,2.0,2.2,2.833333333333333,2.138888888888889,2.7382667006196417,0.5396011334179114,1.49085705517407,0.0679995141959639
NV,2.0238095238095237,2.048780487804878,1.975609756097561,1.5609756097560978,2.0,7.375,2.0,6.282051282051282,2.0,3.948717948717949,1.9743589743589745,4.256410256410257,1.9743589743589745,3.717948717948718,1.973684210526316,3.4210526315789473,1.9729729729729728,3.243243243243243,2.351351351351351,2.2777777777777777,2.9189051859382404,0.5396011334179114,1.8256200386659849,0.03395375762146405
HI,3.814814814814815,3.407407407407407,3.4999999999999996,0.8076923076923077,3.269230769230769,8.423076923076922,3.2,8.76,3.08,5.64,2.92,5.64,2.916666666666667,5.875,2.869565217391304,6.434782608695653,2.8636363636363633,6.363636363636363,4.904761904761905,4.904761904761905,4.479751662588619,0.5396011334179114,4.718213067082645,1.1896261966189991e-06
